X,Y,X_scaled,Y_scaled,Bearing
351,351,322.92,-381.8,310.223978063245
342,342,314.64,-391.0,308.8238380937164
342,342,314.64,-390.08000000000004,308.8897786112153
342,342,314.64,-390.08000000000004,308.8897786112153
343,343,315.56,-390.08000000000004,308.97155197351526
339,339,311.88,-393.76,308.38119824991725
330,330,303.6,-403.88,306.9324931557325
311,311,286.12,-423.20000000000005,304.0621128131831
293,293,269.56,-436.08000000000004,301.7220128217077
287,287,264.04,-441.6,300.8759065863302
273,273,251.16000000000003,-451.72,299.0744159169297
263,263,241.96,-455.40000000000003,297.9822953120913
244,244,224.48000000000002,-468.28000000000003,295.6117228628158
236,236,217.12,-471.96000000000004,294.70427383995656
218,218,200.56,-482.08000000000004,292.5888019098732
213,213,195.96,-484.84000000000003,292.00730653360637
212,212,195.04000000000002,-484.84000000000003,291.9137907338916
213,213,195.96,-484.84000000000003,292.00730653360637
213,213,195.96,-483.92,292.0451400625428
191,191,175.72,-493.12,289.6131839564543
180,180,165.6,-497.72,288.4031708009375
167,167,153.64000000000001,-501.40000000000003,287.03621771095993
159,159,146.28,-503.24,286.20790185550845
137,137,126.04,-508.76000000000005,283.91428584131603
109,109,100.28,-515.2,281.0144944967937
92,92,84.64,-517.0400000000001,279.2969191469702
68,68,62.56,-518.88,276.8748180287042
54,54,49.68,-518.88,275.46909497011194
20,20,18.400000000000002,-517.96,272.0345185157201
6,6,5.5200000000000005,-517.96,270.61058909971604
2,2,1.84,-517.0400000000001,270.2038987104668
2,2,1.84,-516.12,270.20426216320186
2,2,1.84,-517.0400000000001,270.2038987104668
3,3,2.7600000000000002,-516.12,270.3063916222707
-6,-6,-5.5200000000000005,-517.0400000000001,269.3883245252862
-50,-50,-46.0,-506.92,264.81494693566265
-72,-72,-66.24000000000001,-500.48,262.4605548604907
-99,-99,-91.08,-491.28000000000003,259.49699698108213
-110,-110,-101.2,-487.6,258.2748879848349
-135,-135,-124.2,-473.8,255.31121322668162
-161,-161,-148.12,-460.0,252.15144145021705
-180,-180,-165.6,-448.96000000000004,249.75337992441177
-214,-214,-196.88,-420.44,244.90765420413214
-229,-229,-210.68,-407.56,242.66420007753
-239,-239,-219.88,-399.28000000000003,241.1588079331413
-238,-238,-218.96,-400.20000000000005,241.3157650269713
-238,-238,-218.96,-399.28000000000003,241.2602047083119
-238,-238,-218.96,-400.20000000000005,241.3157650269713
-238,-238,-218.96,-400.20000000000005,241.3157650269713
-243,-243,-223.56,-393.76,240.41395236237196
-258,-258,-237.36,-379.04,237.94464229127672
-288,-288,-264.96000000000004,-339.48,232.02839623894957
-298,-298,-274.16,-322.92,229.66864813745576
-317,-317,-291.64,-288.88,224.7275973954873
-326,-326,-299.92,-271.40000000000003,222.14219647490742
-340,-340,-312.8,-230.92000000000002,216.43605242498592
-351,-351,-322.92,-187.68,210.16500780574125
-355,-355,-326.6,-169.28,207.39815256486443
-359,-359,-330.28000000000003,-138.92000000000002,202.81224586672806
-359,-359,-330.28000000000003,-127.88000000000001,201.1657370989566
-359,-359,-330.28000000000003,-126.96000000000001,201.026815528157
-359,-359,-330.28000000000003,-126.96000000000001,201.026815528157
-360,-360,-331.2,-127.88000000000001,201.11212874260252
-359,-359,-330.28000000000003,-127.88000000000001,201.1657370989566
-360,-360,-331.2,-126.96000000000001,200.9734934213208
-360,-360,-331.2,-108.56,198.14799406268867
-359,-359,-330.28000000000003,-95.68,196.155963786112
-359,-359,-330.28000000000003,-74.52000000000001,192.71455818560113
-358,-358,-329.36,-61.64,190.6003279773392
-352,-352,-323.84000000000003,-34.96,186.1614781036706
-349,-349,-321.08000000000004,-22.080000000000002,183.9339175145574
-343,-343,-315.56,5.5200000000000005,178.99784367616238
-334,-334,-307.28000000000003,31.28,174.18751761688728
-331,-331,-304.52000000000004,38.64,172.7684860423073
-323,-323,-297.16,57.96,168.96322769480628
-318,-318,-292.56,67.16,167.0711950095023
-301,-301,-276.92,97.52000000000001,160.59980231437922
-289,-289,-265.88,115.92,156.44346466682006
-263,-263,-241.96,147.20000000000002,148.68513166552947
-247,-247,-227.24,162.84,144.37464702089127
-248,-248,-228.16,164.68,144.1792210783698
-248,-248,-228.16,163.76000000000002,144.3314105252938
-249,-249,-229.08,164.68,144.28856753366418
-240,-240,-220.8,171.12,142.22431569404534
-231,-231,-212.52,181.24,139.54199568026675
-201,-201,-184.92000000000002,203.32000000000002,132.2865905549667
-187,-187,-172.04000000000002,212.52,128.99099404250546
-159,-159,-146.28,229.08,122.56043798115344
-132,-132,-121.44000000000001,241.04000000000002,116.73973289046658
-118,-118,-108.56,246.56,113.76382201932809
-90,-90,-82.8,256.68,107.87869659584133
-72,-72,-66.24000000000001,262.2,104.1780644147069
-49,-49,-45.080000000000005,266.8,99.59042882409258
-37,-37,-34.04,269.56,97.19720754906147
-8,-8,-7.36,273.24,91.54294757081983
10,10,9.200000000000001,273.24,88.07157768672803
11,11,10.120000000000001,273.24,87.87890360333854
11,11,10.120000000000001,273.24,87.87890360333854
11,11,10.120000000000001,274.16,87.88601490769734
10,10,9.200000000000001,272.32,88.06506769044724
0,0,0.0,273.24,90.0
-44,-44,-40.480000000000004,267.72,98.59814972817358
-69,-69,-63.480000000000004,262.2,103.6097318958122
-103,-103,-94.76,251.16000000000003,110.67095838181629
-121,-121,-111.32000000000001,244.72,114.46018128225208
-129,-129,-118.68,243.8,115.95646942695691
-143,-143,-131.56,237.36,118.99800637677518
-150,-150,-138.0,231.84,120.76271953423893
-172,-172,-158.24,220.8,125.62790729142091
-188,-188,-172.96,212.52,129.14051667682244
-210,-210,-193.20000000000002,196.88,134.45948981286935
-227,-227,-208.84,184.0,138.61810122830263
-236,-236,-217.12,177.56,140.7238162573925
-253,-253,-232.76000000000002,160.08,145.4818668514836
-263,-263,-241.96,149.04000000000002,148.3681941371756
-287,-287,-264.04,119.60000000000001,155.63129574042557
-298,-298,-274.16,102.12,159.57048187583615
-311,-311,-286.12,80.04,164.37142142886626
-311,-311,-286.12,81.88000000000001,164.03027468248715
-311,-311,-286.12,80.96000000000001,164.2007043676649
-312,-312,-287.04,80.96000000000001,164.24882633654698
-311,-311,-286.12,80.96000000000001,164.2007043676649
-312,-312,-287.04,80.04,164.41907615174838
-313,-313,-287.96000000000004,76.36,165.14836603200098
-328,-328,-301.76,47.84,170.99149625797486
-332,-332,-305.44,34.04,173.640867501222
-341,-341,-313.72,10.120000000000001,178.1523897340054
-348,-348,-320.16,-18.400000000000002,183.28924267849183
